"","track_name","track_number","album_name","album_release_date","album_release_year","danceability","energy","loudness","speechiness","duration_ms","tempo","valence"
"68","Dangerous Animals",3,"Humbug","2009-08-20",2009,0.34,0.922,-5.189,0.18,210666,125.363,0.532
"69","Secret Door",4,"Humbug","2009-08-20",2009,0.323,0.806,-6.554,0.0769,223066,124.615,0.548
"70","Potion Approaching",5,"Humbug","2009-08-20",2009,0.421,0.758,-8.945,0.0429,212133,103.659,0.767
"71","Fire And The Thud",6,"Humbug","2009-08-20",2009,0.566,0.61,-11.228,0.0388,237533,114.904,0.406
"72","Cornerstone",7,"Humbug","2009-08-20",2009,0.287,0.721,-5.81,0.0387,197973,169.252,0.763
"73","Dance Little Liar",8,"Humbug","2009-08-20",2009,0.538,0.607,-9.133,0.0352,283493,100.158,0.543
"74","Pretty Visitors",9,"Humbug","2009-08-20",2009,0.244,0.896,-5.576,0.464,220506,83.354,0.142
"75","The Jeweller's Hands",10,"Humbug","2009-08-20",2009,0.51,0.8,-8.116,0.0488,344053,96.935,0.391
"76","Brianstorm",1,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.421,0.98,-4.229,0.212,170253,165.193,0.435
"77","Teddy Picker",2,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.637,0.973,-3.386,0.112,160640,150.223,0.8
"78","D Is for Dangerous",3,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.551,0.928,-4.776,0.0365,134733,145.057,0.736
"79","Balaclava",4,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.417,0.824,-4.524,0.105,167440,137.836,0.642
"80","Fluorescent Adolescent",5,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.646,0.813,-5.29,0.0288,173493,112.115,0.821
"81","Only Ones Who Know",6,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.257,0.409,-10.828,0.0363,181480,145.759,0.0794
"82","Do Me a Favour",7,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.471,0.735,-6.685,0.0582,205240,180.127,0.636
"83","This House Is a Circus",8,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.472,0.909,-5.349,0.0584,189680,155.311,0.388
"84","If You Were There, Beware",9,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.232,0.8,-6.853,0.0536,274200,201.1,0.224
"85","The Bad Thing",10,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.545,0.953,-3.737,0.0703,143213,111.121,0.591
"86","Old Yellow Bricks",11,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.663,0.839,-4.453,0.0695,187133,135.155,0.75
"87","505",12,"Favourite Worst Nightmare (Standard Version)","2007-04-24",2007,0.52,0.852,-5.866,0.0543,253586,140.267,0.234
"88","The View From The Afternoon",1,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.387,0.922,-5.192,0.0674,222946,146.478,0.417
"89","I Bet You Look Good On The Dancefloor",2,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.535,0.948,-4.19,0.0356,173680,103.183,0.778
"90","Fake Tales Of San Francisco",3,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.454,0.778,-4.225,0.0449,177946,127.158,0.704
"91","Dancing Shoes",4,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.522,0.889,-4.137,0.0461,141133,144.499,0.852
"92","You Probably Couldn't See For The Lights But You Were Staring Straight At Me",5,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.58,0.972,-4.274,0.0589,130813,105.492,0.926
"93","Still Take You Home",6,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.599,0.946,-4.192,0.0378,173666,108.934,0.653
"94","Riot Van",7,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.593,0.333,-14.342,0.046,134933,103.537,0.258
"95","Red Light Indicates Doors Are Secured",8,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.622,0.846,-4.831,0.0311,143626,110.683,0.914
"96","Mardy Bum",9,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.634,0.599,-5.447,0.0365,175440,112.215,0.312
"97","Perhaps Vampires Is A Bit Strong But…",10,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.371,0.914,-4.917,0.081,268626,134.982,0.394
"98","When The Sun Goes Down",11,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.348,0.875,-4.758,0.199,202133,169.152,0.407
"99","From The Ritz To The Rubble",12,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.216,0.882,-5.176,0.0439,193426,189.286,0.656
"100","A Certain Romance",13,"Whatever People Say I Am, That's What I'm Not","2006-01-29",2006,0.455,0.881,-5.587,0.0401,331200,137.949,0.201
